Grid.ID,LAT_deg,LAT_min,LON_deg,LON_min,LAT,LON,Gear.Sampled,Station,TYPE,Sta_Pri,GadidEggs
BD1,54,22.144,165,26.844,54.36906667,-165.4474,"CTD, Bongo",1,Core,A,NA
BD7,54,48.522,165,51.564,54.8087,-165.8594,Bongo,2,Core,A,NA
BA4,54,42.494,165,16.218,54.70823333,-165.2703,Bongo,3,Core,A,NA
AX7,55,2.844,165,5.658,55.0474,-165.0943,Bongo,4,Core,A,NA
AU4,54,56.816,164,30.096,54.94693333,-164.5016,Bongo,5,Core,A,NA
AR7,55,17.166,164,19.476,55.2861,-164.3246,Bongo,6,Core,A,NA
AO4,55,11.138,163,43.704,55.18563333,-163.7284,Bongo,7,Core,A,NA
AL7,55,31.488,163,33.018,55.5248,-163.5503,Bongo,8,Core,A,NA
AI4,55,25.46,162,57.024,55.42433333,-162.9504,Bongo,9,Core,A,NA
AF7,55,45.81,162,46.272,55.7635,-162.7712,Bongo,10,Core,A,NA
Z7,56,0.132,161,59.244,56.0022,-161.9874,Bongo,11,Core,A,NA
T7,56,14.455,161,11.922,56.24091667,-161.1987,Bongo,12,Core,A,NA
Q4,56,8.426,160,35.262,56.14043333,-160.5877,Bongo,13,Core,A,NA
N7,56,28.777,160,24.306,56.47961667,-160.4051,Bongo,14,Core,A,NA
Q10,56,34.804,161,1.116,56.58006667,-161.0186,Bongo,15,Core,A,NA
N13,56,55.154,160,50.394,56.91923333,-160.8399,Bongo,16,Core,A,NA
N19,57,21.533,161,16.788,57.35888333,-161.2798,Bongo,17,Core,B,NA
Q16,57,1.183,161,27.27,57.01971667,-161.4545,Bongo,18,Core,B,NA
T13,56,40.832,161,37.842,56.68053333,-161.6307,Bongo,19,Core,B,NA
W10,56,20.482,161,48.504,56.34136667,-161.8084,Bongo,20,Core,B,NA
AC10,56,6.16,162,35.598,56.10266667,-162.5933,Bongo,21,Core,A,NA
Z13,56,26.51,162,25.002,56.44183333,-162.4167,Bongo,22,Core,A,NA
W16,56,46.861,162,14.496,56.78101667,-162.2416,Bongo,23,Core,A,NA
T19,57,7.211,162,4.068,57.12018333,-162.0678,Bongo,24,Core,A,NA
W22,57,13.239,162,40.794,57.22065,-162.6799,Bongo,25,Core,B,NA
Z19,56,52.889,162,51.066,56.88148333,-162.8511,Bongo,26,Core,B,NA
AC16,56,32.539,163,1.428,56.54231667,-163.0238,Bongo,27,Core,B,NA
AF13,56,12.188,163,11.874,56.20313333,-163.1979,Bongo,28,Core,B,NA
AI10,55,51.838,163,22.404,55.86396667,-163.3734,Bongo,29,Core,B,NA
AO10,55,37.516,164,8.928,55.62526667,-164.1488,Bongo,30,Core,A,NA
AL13,55,57.866,163,58.458,55.96443333,-163.9743,Bongo,31,Core,A,NA
AI16,56,18.217,163,48.072,56.30361667,-163.8012,Bongo,32,Core,A,NA
AF19,56,38.567,163,37.77,56.64278333,-163.6295,Bongo,33,Core,A,NA
AC22,56,58.917,163,27.558,56.98195,-163.4593,Bongo,34,Core,A,NA
AC28,57,25.295,163,53.994,57.42158333,-163.8999,Bongo,35,Core,B,NA
AF25,57,4.945,164,3.972,57.08241667,-164.0662,Bongo,36,Core,B,NA
AI22,56,44.594,164,14.04,56.74323333,-164.234,"CTD, Bongo",37,Core,B,NA
AL19,56,24.245,164,24.198,56.40408333,-164.4033,Bongo,38,Core,B,NA
AO16,56,3.895,164,34.44,56.06491667,-164.574,Bongo,39,Core,B,NA
AR13,55,43.544,164,44.766,55.72573333,-164.7461,Bongo,40,Core,B,NA
AU10,55,23.194,164,55.176,55.38656667,-164.9196,Bongo,41,Core,B,NA
BA10,55,8.872,165,41.142,55.14786667,-165.6857,Bongo,42,Core,A,NA
AX13,55,29.222,165,30.798,55.48703333,-165.5133,Bongo,43,Core,A,NA
AU16,55,49.573,165,20.526,55.82621667,-165.3421,Bongo,44,Core,A,NA
AR19,56,9.922,165,10.344,56.16536667,-165.1724,Bongo,45,Core,A,NA
AO22,56,30.272,165,0.24,56.50453333,-165.004,Bongo,46,Core,A,NA
AL25,56,50.623,164,50.232,56.84371667,-164.8372,Bongo,47,Core,A,NA
AI28,57,10.973,164,40.308,57.18288333,-164.6718,Bongo,48,Core,A,NA
AF31,57,31.323,164,30.486,57.52205,-164.5081,Bongo,49,Core,A,NA
AI34,57,37.351,165,6.894,57.62251667,-165.1149,Bongo,50,Core,B,NA
AL31,57,17.001,165,16.572,57.28335,-165.2762,Bongo,51,Core,B,NA
AO28,56,56.651,165,26.346,56.94418333,-165.4391,Bongo,52,Core,B,NA
AR25,56,36.301,165,36.21,56.60501667,-165.6035,Bongo,53,Core,B,NA
AU22,56,15.95,165,46.17,56.26583333,-165.7695,Bongo,54,Core,B,NA
AX19,55,55.6,165,56.214,55.92666667,-165.9369,Bongo,55,Core,B,NA
BA16,55,35.251,166,6.342,55.58751667,-166.1057,Bongo,56,Core,B,NA
BD13,55,14.9,166,16.548,55.24833333,-166.2758,Bongo,57,Core,B,NA
BG10,54,54.55,166,26.838,54.90916667,-166.4473,Bongo,58,Core,B,NA
BJ13,55,0.578,167,2.04,55.00963333,-167.034,Bongo,59,Core,A,NA
BG16,55,20.928,166,51.888,55.3488,-166.8648,Bongo,60,Core,A,NA
BD19,55,41.278,166,41.814,55.68796667,-166.6969,Bongo,61,Core,A,NA
BA22,56,1.628,166,31.83,56.02713333,-166.5305,Bongo,62,Core,A,NA
AX25,56,21.979,166,21.924,56.36631667,-166.3654,Bongo,63,Core,A,NA
AU28,56,42.329,166,12.108,56.70548333,-166.2018,Bongo,64,Core,A,NA
AR31,57,2.679,166,2.388,57.04465,-166.0398,Bongo,65,Core,A,NA
AO34,57,23.029,165,52.758,57.38381667,-165.8793,Bongo,66,Core,A,NA
AL37,57,43.379,165,43.23,57.72298333,-165.7205,Bongo,67,Core,A,NA
AO40,57,49.407,166,19.488,57.82345,-166.3248,Bongo,68,Core,B,NA
AR37,57,29.057,166,28.872,57.48428333,-166.4812,Bongo,69,Core,B,NA
AU34,57,8.707,166,38.352,57.14511667,-166.6392,Bongo,70,Core,B,NA
AX31,56,48.357,166,47.934,56.80595,-166.7989,Bongo,71,Core,B,NA
BA28,56,28.007,166,57.606,56.46678333,-166.9601,Bongo,72,Core,B,NA
BD25,56,7.657,167,7.368,56.12761667,-167.1228,Bongo,73,Core,B,NA
BG22,55,47.306,167,17.22,55.78843333,-167.287,Bongo,74,Core,B,NA
BJ25,55,53.335,167,52.548,55.88891667,-167.8758,Bongo,75,Core,A,NA
BG28,56,13.685,167,42.84,56.22808333,-167.714,Bongo,76,Core,A,NA
BD31,56,34.035,167,33.216,56.56725,-167.5536,Bongo,77,Core,A,NA
BA34,56,54.385,167,23.682,56.90641667,-167.3947,Bongo,78,Core,A,NA
AX37,57,14.735,167,14.25,57.24558333,-167.2375,Bongo,79,Core,A,NA
AU40,57,35.085,167,4.914,57.58475,-167.0819,Bongo,80,Core,A,NA
AR43,57,55.435,166,55.674,57.92391667,-166.9279,Bongo,81,Core,A,NA
AR49,58,21.814,167,22.812,58.36356667,-167.3802,Bongo,82,Core,B,NA
AU46,58,1.463,167,31.794,58.02438333,-167.5299,Bongo,83,Core,B,NA
AX43,57,41.113,167,40.878,57.68521667,-167.6813,Bongo,84,Core,B,NA
BA40,57,20.763,167,50.07,57.34605,-167.8345,Bongo,85,Core,B,NA
BD37,57,0.413,167,59.358,57.00688333,-167.9893,Bongo,86,Core,B,NA
BG34,56,40.063,168,8.748,56.66771667,-168.1458,Bongo,87,Core,B,NA
BJ31,56,19.712,168,18.234,56.32853333,-168.3039,Bongo,88,Core,B,NA
BM28,55,59.363,168,27.81,55.98938333,-168.4635,Bongo,89,Core,B,NA
BP31,56,5.39,169,3,56.08983333,-169.05,Bongo,90,Core,A,NA
BM34,56,25.741,168,53.562,56.42901667,-168.8927,Bongo,91,Core,A,NA
BJ37,56,46.091,168,44.214,56.76818333,-168.7369,Bongo,92,Core,A,NA
BG40,57,6.441,168,34.968,57.10735,-168.5828,Bongo,93,Core,A,NA
BD43,57,26.791,168,25.818,57.44651667,-168.4303,Bongo,94,Core,A,NA
BA46,57,47.141,168,16.77,57.78568333,-168.2795,Bongo,95,Core,A,NA
AX49,58,7.492,168,7.836,58.12486667,-168.1306,Bongo,96,Core,A,NA
AU52,58,27.841,167,59.004,58.46401667,-167.9834,Bongo,97,Core,A,NA
AX55,58,33.869,168,35.124,58.56448333,-168.5854,Bongo,98,Core,B,NA
BA52,58,13.519,168,43.806,58.22531667,-168.7301,Bongo,99,Core,B,NA
BD49,57,53.169,168,52.596,57.88615,-168.8766,"CTD, Bongo",100,Core,B,NA
BG46,57,32.819,169,1.5,57.54698333,-169.025,Bongo,101,Core,B,GE
BJ43,57,12.469,169,10.506,57.20781667,-169.1751,Bongo,102,Core,B,GE
BM40,56,52.119,169,19.614,56.86865,-169.3269,Bongo,103,Core,B,GE
BP37,56,31.769,169,28.818,56.52948333,-169.4803,Bongo,104,Core,B,GE
BS34,56,11.419,169,38.118,56.19031667,-169.6353,Bongo,105,Core,B,GE
BV37,56,17.447,170,13.164,56.29078333,-170.2194,Bongo,106,Core,A,GE
BS40,56,37.797,170,4.002,56.62995,-170.0667,Bongo,107,Core,A,GE
BP43,56,58.147,169,54.936,56.96911667,-169.9156,Bongo,108,Core,A,GE
BM46,57,18.497,169,45.972,57.30828333,-169.7662,Bongo,109,Core,A,GE
BJ49,57,38.847,169,37.11,57.64745,-169.6185,Bongo,110,Core,A,GE
BG52,57,59.197,169,28.35,57.98661667,-169.4725,Bongo,111,Core,A,NA
BD55,58,19.547,169,19.704,58.32578333,-169.3284,Bongo,112,Core,A,NA
BA58,58,39.898,169,11.172,58.66496667,-169.1862,Bongo,113,Core,A,NA
AX61,59,0.248,169,2.76,59.00413333,-169.046,Bongo,114,Core,A,NA
BD61,58,45.926,169,47.154,58.76543333,-169.7859,Bongo,115,Core,B,NA
BG58,58,25.576,169,55.536,58.42626667,-169.9256,Bongo,116,Core,B,NA
BJ55,58,5.225,170,4.032,58.08708333,-170.0672,Bongo,117,Core,B,NA
BM52,57,44.875,170,12.648,57.74791667,-170.2108,Bongo,118,Core,B,GE
BP49,57,24.525,170,21.372,57.40875,-170.3562,Bongo,119,Core,B,GE
BS46,57,4.175,170,30.192,57.06958333,-170.5032,Bongo,120,Core,B,GE
BV43,56,43.825,170,39.126,56.73041667,-170.6521,Bongo,121,Core,B,GE
BY46,56,49.853,171,14.172,56.83088333,-171.2362,Bongo,122,Core,A,GE
BV49,57,10.203,171,5.388,57.17005,-171.0898,Bongo,123,Core,A,GE
BS52,57,30.553,170,56.7,57.50921667,-170.945,Bongo,124,Core,A,GE
BP55,57,50.903,170,48.12,57.84838333,-170.802,Bongo,125,Core,A,GE
BM58,58,11.254,170,39.648,58.18756667,-170.6608,Bongo,126,Core,A,NA
BJ61,58,31.604,170,31.296,58.52673333,-170.5216,Bongo,127,Core,A,NA
BP61,58,17.281,171,15.198,58.28801667,-171.2533,Bongo,128,Core,B,NA
BS58,57,56.932,171,23.52,57.94886667,-171.392,Bongo,129,Core,B,NA
BV55,57,36.581,171,31.962,57.60968333,-171.5327,Bongo,130,Core,B,NA
BY52,57,16.231,171,40.506,57.27051667,-171.6751,Bongo,131,Core,B,NA
CB55,57,22.259,172,15.558,57.37098333,-172.2593,Bongo,132,Core,A,NA
BY58,57,42.61,172,7.152,57.71016667,-172.1192,Bongo,133,Core,A,NA
BV61,58,2.959,171,58.86,58.04931667,-171.981,Bongo,134,Core,A,NA
CB61,57,48.637,172,42.282,57.81061667,-172.7047,Bongo,135,Core,B,NA
CE58,57,28.287,172,50.55,57.47145,-172.8425,Bongo,136,Core,B,NA
CE52,57,1.909,172,24.072,57.03181667,-172.4012,Bongo,137,Core,B,NA
CB49,56,55.881,171,49.158,56.93135,-171.8193,Bongo,138,Core,B,NA
CE46,56,35.531,171,57.912,56.59218333,-171.9652,Bongo,139,Core,B,NA
CB43,56,29.503,171,23.064,56.49171667,-171.3844,Bongo,140,Core,B,NA
BY40,56,23.475,170,48.144,56.39125,-170.8024,Bongo,141,Core,B,NA
BY34,55,57.097,170,22.422,55.95161667,-170.3737,Bongo,142,Core,B,NA
BP25,55,39.013,168,37.47,55.65021667,-168.6245,Bongo,143,Core,B,NA
BM22,55,32.984,168,2.346,55.54973333,-168.0391,Bongo,144,Core,B,NA
BJ19,55,26.956,167,27.156,55.44926667,-167.4526,Bongo,145,Core,B,NA
