Station,Grid ID,Latitude(N), Longitude (W),Gear Sampled
0,DH,53.8746,166.5423,
1,gf105,54.2879,164.2684,
2,gh105,54.1731,164.0241,
3,gj105,54.0583,163.7806,
4,gj107,54.1793,163.5848,
5,gh107,54.2941,163.8277,
6,gf107,54.4089,164.0715,
7,gn123,54.9174,161.5226,
8,gp123,54.8026,161.2865,
9,gr123,54.6878,161.0513,
10,gr125,54.8088,160.8524,
11,gp125,54.9235,161.0871,
12,gn125,55.0383,161.3226,
13,gn127,55.1593,161.1219,
14,gp127,55.0445,160.887,
15,gr127,54.9297,160.6529,
16,gz127,54.4706,159.7241,
17,hb127,54.3547,159.4994,
18,hb129,54.4768,159.3004,
19,gz129,54.5915,159.5263,
20,gz131,54.7125,159.3279,
21,hb131,54.5985,159.1014,
22,hd131,54.4786,158.8838,
23,hf131,54.3585,158.6662,CTD
24,hf135,54.6022,158.2681,
25,hd135,54.7216,158.4858,
26,hb135,54.8396,158.7012,
27,gz135,54.9544,158.9293,
28,gx135,55.0692,159.1581,
29,gt135,55.2988,159.618,
30,gr135,55.4135,159.849,
31,gt137,55.4197,159.416,
32,gv137,55.3049,159.1863,
33,gx137,55.1901,158.9574,
34,gz137,55.0754,158.7291,
35,hb137,54.9606,158.5016,
36,hd137,54.8426,158.2867,
37,hf137,54.7235,158.0691,
38,hf139,54.8444,157.8701,
39,hd139,54.9631,158.0877,CTD
40,hb139,55.0815,158.3014,
41,gz139,55.1963,158.5283,
42,gx139,55.3111,158.756,
43,gv139,55.4259,158.9844,
44,gt139,55.5407,159.2135,
45,gt141,55.6616,159.0103,
46,gv141,55.5468,158.7818,
47,gx141,55.4321,158.554,
48,gz141,55.3173,158.3269,
49,hb141,55.2025,158.1006,
50,hd141,55.0834,157.8887,
51,hf141,54.965,157.6711,
52,hh141,54.8463,157.4535,CTD
53,hh143,54.9791,157.226,CTD
54,hf143,55.0939,157.4497,CTD
55,hd143,55.2087,157.674,
56,hb143,55.3234,157.8991,CTD
57,gz143,55.4382,158.1249,
58,gx143,55.553,158.3513,CTD
59,gv143,55.6678,158.5786,NEU
60,gt145,55.9035,158.6021,NEU
61,gv145,55.7888,158.3747,NEU
62,gx145,55.674,158.1481,NEU
63,gz145,55.5592,157.9222,NEU
64,hb145,55.4444,157.6971,NEU
65,hd145,55.3296,157.4726,NEU
66,hf145,55.2148,157.2488,NEU
67,hh145,55.1,157.0257,NEU
68,hj145,54.9853,156.8033,NEU
69,hj147,55.1062,156.603,NEU
70,hh147,55.221,156.8248,NEU
71,hf147,55.3358,157.0473,NEU
72,hd147,55.4506,157.2705,NEU
73,hb147,55.5654,157.4944,NEU
74,gz147,55.6801,157.7189,NEU
75,gx147,55.7949,157.9442,NEU
76,gv147,55.9097,158.1702,NEU
77,gv149,56.0307,157.9651,NEU
78,gx149,55.9159,157.7397,NEU
79,gz149,55.8011,157.515,NEU
80,hb149,55.6863,157.2911,NEU
81,hd149,55.5715,157.0678,NEU
82,hf149,55.4567,156.8452,NEU
83,hh149,55.342,156.6232,NEU
84,hj149,55.2272,156.402,NEU
85,hj151,55.3481,156.2004,NEU
86,hh151,55.4629,156.4211,NEU
87,hf151,55.5777,156.6424,NEU
88,hd151,55.6925,156.8644,NEU
89,hb151,55.8073,157.0871,NEU
90,gz151,55.9221,157.3105,NEU
91,gx151,56.0368,157.5346,NEU
92,gv151,56.1516,157.7594,NEU
93,gv153,56.2726,157.553,"NEU, CTD"
94,gx153,56.1578,157.3288,NEU
95,gz153,56.043,157.1053,NEU
96,hb153,55.9282,156.8826,NEU
97,hd153,55.8134,156.6605,NEU
98,hf153,55.6987,156.439,NEU
99,hh153,55.5839,156.2183,NEU
100,hj153,55.4691,155.9982,
101,hj155,55.59,155.7954,
102,hh155,55.7048,156.0149,
103,hf155,55.8196,156.235,
104,hd155,55.9344,156.4559,
105,gz155,56.164,156.8995,
106,gx155,56.2787,157.1224,
107,gv155,56.3935,157.3459,
108,gx157,56.3997,156.9153,
109,gz157,56.2849,156.693,
110,hb157,56.1701,156.4715,
111,hd157,56.0554,156.2506,
112,hf157,55.9406,156.0304,
113,hh157,55.8258,155.8109,
114,hf159,56.0615,155.8251,CALVET
115,hd159,56.1763,156.0447,CALVET
116,hb159,56.2911,156.265,CALVET
117,gz159,56.4059,156.4859,CALVET
118,gx159,56.5207,156.7075,CALVET
119,gv159,56.6354,156.9298,"CALVET, CTD"
120,gv161,56.7564,156.7208,"CALVET, CTD"
121,gx161,56.6416,156.4991,"CALVET, CTD"
122,gz161,56.5268,156.2781,"CALVET, CTD"
123,hb161,56.412,156.0578,"CALVET, CTD"
124,hd161,56.2973,155.8382,CTD
125,hf161,56.1825,155.6192,
126,hf163,56.3034,155.4126,CALVET
127,hd163,56.4182,155.631,CALVET
128,hb163,56.533,155.85,CALVET
129,gz163,56.6478,156.0697,CALVET
130,gx163,56.7626,156.29,CALVET
131,gv163,56.8774,156.5111,CALVET
132,gv165,56.9983,156.3007,CALVET
133,gx165,56.8835,156.0803,CALVET
134,gz165,56.7687,155.8606,CALVET
135,hb165,56.654,155.6415,CALVET
136,hd165,56.5392,155.4231,CALVET
137,hd167,56.6601,155.2146,CALVET
138,hb167,56.7749,155.4324,CALVET
139,gz167,56.8897,155.6508,CALVET
140,gx167,57.0045,155.8698,CALVET
141,gv167,57.1193,156.0896,
142,gt169,57.355,156.0833,
143,gv169,57.2402,155.8778,
144,gx169,57.1254,155.6587,
145,gz169,57.0107,155.4403,
146,hb169,56.8959,155.2225,
147,hd169,56.7811,155.0054,
148,hd171,56.902,154.7956,
149,hb171,57.0168,155.012,
150,gz171,57.1316,155.2291,
151,gx171,57.2464,155.4469,
152,gv171,57.3612,155.6653,
153,gv173,57.4821,155.4521,
154,gx173,57.3674,155.2344,
155,gz173,57.2526,155.0173,
156,hb173,57.1378,154.8008,
157,gz175,57.3735,154.8047,
158,gx175,57.4883,155.0212,
159,gv175,57.6031,155.2383,CTD
160,FOX61,57.72,155.26,CTD
161,FOX60,57.68,155.17,CTD
162,FOX59,57.64,155.07,CTD
163,FOX58,57.61,155.01,CTD
164,FOX57,57.55,154.88,CTD
165,FOX56,57.52,154.78,
166,gx177,57.6093,154.8073,
167,gx179,57.7302,154.5927,
168,gx181,57.8512,154.3773,
169,gx183,57.9721,154.1612,
170,gx185,58.0931,153.9444,
171,gx187,58.2141,153.7269,
172,gx189,58.335,153.5086,
173,gx191,58.456,153.2895,
174,gx193,58.5769,153.0697,
175,gx195,58.6979,152.8492,
176,gx197,58.8188,152.6279,
177,gx199,58.9398,152.4058,
178,gz199,58.825,152.1978,
179,gx201,59.0607,152.1829,
180,gz203,59.0669,151.7527,
181,hb205,59.0731,151.3238,
182,hd207,59.0793,150.8962,
183,hd209,59.197,150.6781,
184,hd211,59.3144,150.46,
185,hf211,59.2064,150.246,
186,hh211,59.0916,150.0447,NEU
187,hj211,58.9768,149.8439,NEU
188,hl211,58.862,149.6436,NEU
189,hl209,58.7411,149.8652,NEU
190,hj209,58.857,150.064,NEU
191,hh209,58.9707,150.2677,NEU
192,hf209,59.0854,150.4699,NEU
193,hf207,58.9645,150.6929,NEU
194,hh207,58.8497,150.49,NEU
195,hj207,58.7349,150.2878,NEU
196,hl207,58.6201,150.086,NEU
197,hl205,58.4992,150.3061,NEU
198,hj205,58.614,150.5086,NEU
199,hh205,58.7287,150.7115,NEU
200,hf205,58.8435,150.9151,NEU
201,hd205,58.9583,151.1192,NEU
202,hb203,58.9521,151.5468,NEU
203,hd203,58.8374,151.3414,NEU
204,hf203,58.7226,151.1366,NEU
205,hh203,58.6078,150.9323,NEU
206,hj203,58.493,150.7286,NEU
207,hl203,58.3782,150.5254,NEU
208,hl201,58.2573,150.7439,NEU
209,hj201,58.372,150.9479,NEU
210,hh201,58.4868,151.1523,NEU
211,hf201,58.6016,151.3573,NEU
212,hd201,58.7164,151.5629,NEU
213,hb201,58.8312,151.7689,
214,hb199,58.7102,151.9903,
215,hd199,58.5954,151.7835,
216,hd197,58.4745,152.0034,
217,hf199,58.4807,151.5772,
218,hf197,58.3597,151.7964,
219,hh199,58.3659,151.3715,
220,hh197,58.2449,151.59,
221,hj199,58.2511,151.1664,
222,hl199,58.1363,150.9617,
223,hn199,58.0215,150.7577,
224,hp199,57.9047,150.5473,
225,hp197,57.7854,150.76,
226,hn197,57.9006,150.9741,
227,hl197,58.0153,151.1788,
228,hj197,58.1301,151.3841,
229,hh195,58.124,151.8077,
230,hj195,58.0092,151.6012,
231,hl195,57.8944,151.3952,
232,hn195,57.7796,151.1897,
233,hp195,57.6656,150.9728,
234,hp193,57.5455,151.1857,
235,hn193,57.6586,151.4047,
236,hl193,57.7734,151.6108,
237,hj193,57.8882,151.8175,
238,hh193,58.003,152.0247,
239,hj191,57.7673,152.033,
240,hl191,57.6525,151.8257,
241,hn191,57.5377,151.6189,
242,hp191,57.4249,151.3986,
243,hp189,57.3039,151.6114,
244,hn189,57.4167,151.8324,
245,hl189,57.5315,152.0398,
246,hl187,57.4106,152.2533,
247,hn187,57.2958,152.0452,
248,hp187,57.1826,151.8243,NEU
249,hp185,57.0608,152.0371,NEU
250,hn185,57.1748,152.2573,NEU
251,hl185,57.2896,152.466,NEU
252,hl183,57.1686,152.6781,NEU
253,hn183,57.0539,152.4687,NEU
254,hp183,56.9386,152.25,NEU
255,hp181,56.8161,152.4629,NEU
256,hn181,56.9329,152.6794,NEU
257,hl181,57.0477,152.8895,NEU
258,hl179,56.9267,153.1002,NEU
259,hn179,56.812,152.8894,NEU
260,hp179,56.6931,152.6757,NEU
261,hp177,56.5728,152.8833,NEU
262,hn177,56.691,153.0988,NEU
263,hl177,56.8058,153.3102,NEU
264,hl175,56.6848,153.5195,NEU
265,hn175,56.57,153.3075,NEU
266,hp175,56.4501,153.0944,NEU
267,hp173,56.332,153.2968,NEU
268,hn173,56.4491,153.5155,NEU
269,hl173,56.5639,153.7281,
270,hj173,56.6787,153.9414,
271,Kodiak,57.78385,152.4267,
